NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
16.000000,-1.0898508E+09,8.0756152E+08,18850729.,-10.786436,-11.298134,0.34712929,5.4259518E+10,-2.2330960E+10,-6.9491706E+09,11429.660,46853.503,2780.5478,9.6400544E+10,4.9646610E+10,-4.9366198E+09,-15769.865,31380.014,1340.5346,-1.4342242E+11,-4.7038500E+10,20116227.,9005.5861,-28421.773,0.87169625,-9.8736453E+10,2.2301622E+11,7.0707854E+09,-21283.580,-7704.8218,360.95923,
16.500000,-1.0903168E+09,8.0707344E+08,18865727.,-10.785881,-11.297922,0.34704662,5.4784128E+10,-2.0320199E+10,-6.8329684E+09,10007.699,47476.633,2961.9054,9.5728591E+10,5.1006834E+10,-4.8791824E+09,-16201.134,31167.703,1362.5074,-1.4303859E+11,-4.8268056E+10,20153929.,9246.9945,-28341.773,0.86960592,-9.9656746E+10,2.2268529E+11,7.0864398E+09,-21244.645,-7793.9114,358.13716,
17.000000,-1.0907828E+09,8.0658536E+08,18880721.,-10.785326,-11.297693,0.34696470,5.5248033E+10,-1.8281563E+10,-6.7089198E+09,8552.0926,48055.891,3142.7641,9.5037939E+10,5.2358014E+10,-4.8207901E+09,-16629.286,30949.475,1384.2191,-1.4264431E+11,-4.9494200E+10,20191543.,9487.6028,-28259.743,0.86747852,-1.0057536E+11,2.2235052E+11,7.1019723E+09,-21205.375,-7882.7925,355.31125,
17.500000,-1.0912487E+09,8.0609730E+08,18895712.,-10.784772,-11.297449,0.34688359,5.5649754E+10,-1.6216902E+10,-6.5770403E+09,7063.9882,48589.148,3322.8450,9.4328722E+10,5.3699894E+10,-4.7614542E+09,-17054.236,30725.376,1405.6655,-1.4223962E+11,-5.0716843E+10,20229065.,9727.3942,-28175.690,0.86531422,-1.0149229E+11,2.2201189E+11,7.1173829E+09,-21165.771,-7971.4641,352.48154,
18.000000,-1.0917146E+09,8.0560924E+08,18910699.,-10.784218,-11.297189,0.34680335,5.5987857E+10,-1.4128156E+10,-6.4373571E+09,5544.6918,49074.269,3501.8536,9.3601075E+10,5.5032217E+10,-4.7011859E+09,-17475.901,30495.455,1426.8425,-1.4182456E+11,-5.1935899E+10,20266494.,9966.3518,-28089.623,0.86311325,-1.0240752E+11,2.2166944E+11,7.1326713E+09,-21125.834,-8059.9253,349.64808,
18.500000,-1.0921805E+09,8.0512120E+08,18925683.,-10.783665,-11.296912,0.34672405,5.6260964E+10,-1.2017360E+10,-6.2899097E+09,3995.6770,49509.126,3679.4808,9.2855140E+10,5.6354733E+10,-4.6399968E+09,-17894.200,30259.761,1447.7459,-1.4139915E+11,-5.3151281E+10,20303829.,10204.459,-28001.551,0.86087579,-1.0332102E+11,2.2132315E+11,7.1478374E+09,-21085.566,-8148.1753,346.81092,
19.000000,-1.0926464E+09,8.0463316E+08,18940663.,-10.783114,-11.296618,0.34664573,5.6467753E+10,-9.8866377E+09,-6.1347508E+09,2418.5917,49891.606,3855.4028,9.2091059E+10,5.7667190E+10,-4.5778988E+09,-18309.050,30018.345,1468.3718,-1.4096344E+11,-5.4362900E+10,20341068.,10441.699,-27911.483,0.85860205,-1.0423280E+11,2.2097305E+11,7.1628810E+09,-21044.968,-8236.2130,343.97010,
19.500000,-1.0931122E+09,8.0414514E+08,18955640.,-10.782564,-11.296307,0.34656849,5.6606973E+10,-7.7382086E+09,-5.9719467E+09,815.26424,50219.633,4029.2824,9.1308980E+10,5.8969340E+10,-4.5149036E+09,-18720.371,29771.259,1488.7163,-1.4051746E+11,-5.5570672E+10,20378210.,10678.055,-27819.428,0.85629223,-1.0514283E+11,2.2061914E+11,7.1778020E+09,-21004.040,-8324.0377,341.12567,
20.000000,-1.0935780E+09,8.0365714E+08,18970613.,-10.782017,-11.295979,0.34649237,5.6677446E+10,-5.5743812E+09,-5.8015780E+09,-812.29225,50491.179,4200.7691,9.0509054E+10,6.0260938E+10,-4.4510233E+09,-19128.081,29518.556,1508.7753,-1.4006125E+11,-5.6774510E+10,20415253.,10913.510,-27725.394,0.85394656,-1.0605109E+11,2.2026144E+11,7.1926002E+09,-20962.784,-8411.6484,338.27767,
20.500000,-1.0940438E+09,8.0316914E+08,18985583.,-10.781473,-11.295634,0.34641745,5.6678075E+10,-3.3975532E+09,-5.6237403E+09,-2461.8762,50704.285,4369.5007,8.9691435E+10,6.1541738E+10,-4.3862702E+09,-19532.103,29260.291,1528.5451,-1.3959485E+11,-5.7974327E+10,20452195.,11148.049,-27629.392,0.85156523,-1.0695759E+11,2.1989994E+11,7.2072754E+09,-20921.202,-8499.0443,335.42616,
