NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
3.2000000,-1.0775403E+09,8.2044805E+08,18453411.,-10.800254,-11.298825,0.34943865,2.3843102E+10,-6.0740453E+10,-7.2980733E+09,35421.950,20714.640,-1556.2659,1.0690645E+11,1.1376802E+10,-6.0679326E+09,-3557.1695,34682.337,681.11762,-1.4962070E+11,-1.3648192E+10,19093938.,2402.5038,-29762.197,0.91243316,-7.3879106E+10,2.3030772E+11,6.6134527E+09,-22184.534,-5279.7931,433.87893,
3.3000000,-1.0776336E+09,8.2035043E+08,18456430.,-10.800157,-11.298850,0.34942084,2.4149559E+10,-6.0562501E+10,-7.3116408E+09,35326.842,20951.378,-1528.1961,1.0687613E+11,1.1676497E+10,-6.0620712E+09,-3653.6709,34673.038,686.55866,-1.4960017E+11,-1.3905359E+10,19101822.,2453.7472,-29757.251,0.91221353,-7.4070806E+10,2.3026218E+11,6.6172038E+09,-22178.566,-5298.6320,433.33774,
3.4000000,-1.0777269E+09,8.2025281E+08,18459449.,-10.800061,-11.298875,0.34940303,2.4455201E+10,-6.0382503E+10,-7.3249662E+09,35230.351,21187.936,-1500.0142,1.0684498E+11,1.1976114E+10,-6.0561628E+09,-3750.1479,34663.471,691.99460,-1.4957919E+11,-1.4162483E+10,19109705.,2504.9789,-29752.216,0.91199223,-7.4262454E+10,2.3021649E+11,6.6209501E+09,-22172.584,-5317.4638,432.79635,
3.5000000,-1.0778202E+09,8.2015519E+08,18462468.,-10.799964,-11.298899,0.34938521,2.4760015E+10,-6.0200460E+10,-7.3380487E+09,35132.473,21424.308,-1471.7203,1.0681300E+11,1.2275649E+10,-6.0502075E+09,-3846.5996,34653.636,697.42541,-1.4955776E+11,-1.4419564E+10,19117585.,2556.1986,-29747.093,0.91176928,-7.4454051E+10,2.3017062E+11,6.6246918E+09,-22166.587,-5336.2883,432.25475,
3.6000000,-1.0779136E+09,8.2005756E+08,18465487.,-10.799867,-11.298923,0.34936739,2.5063990E+10,-6.0016374E+10,-7.3508871E+09,35033.204,21660.490,-1443.3144,1.0678018E+11,1.2575100E+10,-6.0442051E+09,-3943.0255,34643.534,702.85105,-1.4953590E+11,-1.4676602E+10,19125464.,2607.4062,-29741.882,0.91154468,-7.4645597E+10,2.3012460E+11,6.6284289E+09,-22160.575,-5355.1056,431.71294,
3.7000000,-1.0780069E+09,8.1995994E+08,18468505.,-10.799770,-11.298946,0.34934956,2.5367112E+10,-5.9830247E+10,-7.3634807E+09,34932.541,21896.475,-1414.7966,1.0674653E+11,1.2874465E+10,-6.0381559E+09,-4039.4246,34633.163,708.27147,-1.4951359E+11,-1.4933595E+10,19133341.,2658.6015,-29736.583,0.91131842,-7.4837090E+10,2.3007841E+11,6.6321612E+09,-22154.549,-5373.9157,431.17093,
3.8000000,-1.0781002E+09,8.1986232E+08,18471524.,-10.799673,-11.298969,0.34933172,2.5669371E+10,-5.9642080E+10,-7.3758283E+09,34830.479,22132.258,-1386.1670,1.0671204E+11,1.3173742E+10,-6.0320598E+09,-4135.7964,34622.524,713.68664,-1.4949084E+11,-1.5190542E+10,19141216.,2709.7845,-29731.195,0.91109051,-7.5028532E+10,2.3003206E+11,6.6358889E+09,-22148.508,-5392.7186,430.62871,
3.9000000,-1.0781935E+09,8.1976470E+08,18474542.,-10.799576,-11.298992,0.34931388,2.5970755E+10,-5.9451874E+10,-7.3879290E+09,34727.013,22367.832,-1357.4257,1.0667673E+11,1.3472928E+10,-6.0259170E+09,-4232.1400,34611.617,719.09650,-1.4946765E+11,-1.5447443E+10,19149088.,2760.9549,-29725.720,0.91086094,-7.5219921E+10,2.2998555E+11,6.6396118E+09,-22142.452,-5411.5142,430.08628,
4.0000000,-1.0782868E+09,8.1966707E+08,18477560.,-10.799478,-11.299014,0.34929604,2.6271250E+10,-5.9259633E+10,-7.3997819E+09,34622.140,22603.193,-1328.5728,1.0664058E+11,1.3772021E+10,-6.0197273E+09,-4328.4548,34600.443,724.50102,-1.4944402E+11,-1.5704298E+10,19156959.,2812.1126,-29720.156,0.91062972,-7.5411258E+10,2.2993888E+11,6.6433301E+09,-22136.382,-5430.3026,429.54365,
4.1000000,-1.0783801E+09,8.1956945E+08,18480578.,-10.799380,-11.299036,0.34927818,2.6570846E+10,-5.9065357E+10,-7.4113859E+09,34515.856,22838.334,-1299.6083,1.0660359E+11,1.4071018E+10,-6.0134909E+09,-4424.7399,34589.001,729.90016,-1.4941994E+11,-1.5961104E+10,19164828.,2863.2575,-29714.505,0.91039686,-7.5602542E+10,2.2989204E+11,6.6470437E+09,-22130.297,-5449.0837,429.00081,
